"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"TCS","Tata Consultancy Services Limited","Updates","Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release -TCS and ABB strengthen strategic IT, AI, and engineering partnership'.","19-Mar-2026 16:37:00","2026-03-19 16:37:00","19-Mar-2026 16:37:01","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_19032026163647_PR19Mar26_2.pdf"
"TCS","Tata Consultancy Services Limited","Updates","Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - Amadeus and TCS announce global strategic partnership to accelerate modern airline retailing'.","19-Mar-2026 14:00:09","2026-03-19 14:00:09","19-Mar-2026 14:00:10","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_19032026135304_PR_19Mar26_signed.pdf"
"TCS","Tata Consultancy Services Limited","Copy of Newspaper Publication","Tata Consultancy Services Limited has informed the Exchange about Copy of Newspaper Publication","18-Mar-2026 19:53:24","2026-03-18 19:53:24","18-Mar-2026 19:53:25","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_18032026195033_SE_Intimation_18032026s.pdf"
"TCS","Tata Consultancy Services Limited","Updates","Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - TCS and Pearson partner to accelerate AI-powered learning for global industries'.","18-Mar-2026 12:30:13","2026-03-18 12:30:13","18-Mar-2026 12:30:15","00:00:02","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_18032026122452_PR_18Mar26_signed.pdf"
"TCS","Tata Consultancy Services Limited","Updates","Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release-TCS launches Rapid Outcome AI platform powered by NVIDIA'.","17-Mar-2026 11:30:13","2026-03-17 11:30:13","17-Mar-2026 11:30:14","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_17032026112200_PR_17Mar26_signed.pdf"
"TCS","Tata Consultancy Services Limited","General Updates","Tata Consultancy Services Limited has informed the Exchange about General Updates","09-Mar-2026 19:56:53","2026-03-09 19:56:53","09-Mar-2026 19:56:54","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_09032026195559_SEInt09032026_signed.pdf"
"TCS","Tata Consultancy Services Limited","Updates","Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - TCS launches Gemini Experience Center in the US to help accelerate AI-powered manufacturing'.","09-Mar-2026 12:37:08","2026-03-09 12:37:08","09-Mar-2026 12:37:08","00:00:00","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_09032026123653_PR_09Mar26_signed.pdf"
"TCS","Tata Consultancy Services Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Tata Consultancy Services Limited has informed the Exchange about Schedule of meet","06-Mar-2026 19:04:11","2026-03-06 19:04:11","06-Mar-2026 19:04:12","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_06032026190325_Signed_SEIntimation.pdf"
"TCS","Tata Consultancy Services Limited","Updates","Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - TCS Expands Strategic Partnership with Zscaler to Redefine Enterprise Workspace Innovation with New AI-powered Solution'.","02-Mar-2026 12:30:06","2026-03-02 12:30:06","02-Mar-2026 12:30:08","00:00:02","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_02032026121825_PR_02Mar26_signed.pdf"
"TCS","Tata Consultancy Services Limited","Change in Management","Tata Consultancy Services Limited has informed the Exchange about change in Management","28-Feb-2026 19:16:25","2026-02-28 19:16:25","28-Feb-2026 19:16:27","00:00:02","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_28022026191510_SE_SMP_superannuation_appointment_signed.pdf"
"TCS","Tata Consultancy Services Limited","Appointment","Tata Consultancy Services Limited has informed the Exchange regarding Appointment of  Walker Chandiok & Co LLP, Chartered Accountants as Statutory Auditors of the company.","28-Feb-2026 19:13:02","2026-02-28 19:13:02","28-Feb-2026 19:13:03","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_28022026191131_SE_Stat_Auditors_Final_signed.pdf"
"TCS","Tata Consultancy Services Limited","Outcome of Board Meeting","Tata Consultancy Services Limited has informed the Exchange regarding Appointment of Statutory Auditors for a term of 5 consecutive years from the conclusion of 32nd AGM to be held in the year 2027 till the conclusion of 37th AGM, to be held in the year 2032, subject to approval of the Members.","28-Feb-2026 19:05:09","2026-02-28 19:05:09","28-Feb-2026 19:05:11","00:00:02","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_28022026190358_SE_Stat_Auditors_Final_signed.pdf"
"TCS","Tata Consultancy Services Limited","News Verification","The Exchange has sought clarification from Tata Consultancy Services Limited with respect to recent news item captioned University of Bristol to open Mumbai campus in 2026; signs MoU with IIT-Bombay, TCS..  The response from the Company is attached.","25-Feb-2026 13:17:17","2026-02-25 13:17:17","25-Feb-2026 13:17:18","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_25022026131456_DSCSE_letter.pdf"
"TCS","Tata Consultancy Services Limited","Updates","Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - TCS and GitLab partner to bring AI-powered orchestration to accelerate software innovation at scale'.","25-Feb-2026 12:30:04","2026-02-25 12:30:04","25-Feb-2026 12:30:05","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_25022026122401_PR_25Feb26_signed.pdf"
"TCS","Tata Consultancy Services Limited","News Verification","The Exchange has sought clarification from Tata Consultancy Services Limited with respect to recent news item captioned University of Bristol to open Mumbai campus in 2026; signs MoU with IIT-Bombay, TCS..  The response from the Company is awaited.","25-Feb-2026 11:27:03","2026-02-25 11:27:03","25-Feb-2026 11:27:04","00:00:01","-"
"TCS","Tata Consultancy Services Limited","Updates","Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - TCS and ServiceNow partner to accelerate large-scale AI adoption for enterprises'.","23-Feb-2026 12:30:06","2026-02-23 12:30:06","23-Feb-2026 12:30:07","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_23022026122047_PR_23Feb26_signed.pdf"
"TCS","Tata Consultancy Services Limited","Updates","Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - TCS and Cisco Launch Center of Excellence for Autonomous Enterprise to Reimagine Operations'.","20-Feb-2026 12:30:06","2026-02-20 12:30:06","20-Feb-2026 12:30:07","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_20022026122101_PR_20Feb26_signed.pdf"
"TCS","Tata Consultancy Services Limited","Updates","Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - TATA Group and OpenAI forge foundational partnership to advance AI transformation in India and globally'.","19-Feb-2026 08:20:10","2026-02-19 08:20:10","19-Feb-2026 08:20:11","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_19022026081906_PR_19Feb26_signed.pdf"
"TCS","Tata Consultancy Services Limited","Updates","Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - TCS and AMD to bring state-of-the-art 'Helios' rack-scale AI architecture to India'.","16-Feb-2026 12:25:05","2026-02-16 12:25:05","16-Feb-2026 12:25:06","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_16022026121739_PR_16Feb26_signed.pdf"
"TCS","Tata Consultancy Services Limited","Updates","Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - TCS hosts AI Hackathon for 10,000 non-engineering students to boost India's AI fluency'.","12-Feb-2026 16:20:36","2026-02-12 16:20:36","12-Feb-2026 16:20:37","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_12022026160730_PR_12Feb26_signed.pdf"
"TCS","Tata Consultancy Services Limited","Updates","Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - Flight Centre Travel Group (FCTG) Taps TCS to Help Transform its Enterprise Technology Services'.","09-Feb-2026 11:30:14","2026-02-09 11:30:14","09-Feb-2026 11:30:15","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_09022026112008_PR_09Feb26_signed.pdf"
"TCS","Tata Consultancy Services Limited","Analysts/Institutional Investor Meet/Con. Call Updates","Tata Consultancy Services Limited has informed the Exchange about Schedule of meet","03-Feb-2026 15:07:01","2026-02-03 15:07:01","03-Feb-2026 15:07:02","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_03022026150501_SE_letter_signed.pdf"
"TCS","Tata Consultancy Services Limited","Updates","Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - Janata Sahakari Bank Selects TCS BaNCS  to Power Next-Gen Banking Experience'.","02-Feb-2026 11:31:30","2026-02-02 11:31:30","02-Feb-2026 11:31:31","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_02022026112351_PR_02Feb26_signed.pdf"
"TCS","Tata Consultancy Services Limited","Updates","Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - TCS Global Study Identifies Critical Gaps in AI Adoption among Retailers'.","29-Jan-2026 11:30:29","2026-01-29 11:30:29","29-Jan-2026 11:30:31","00:00:02","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_29012026112701_PR_29Jan26_signed.pdf"
"TCS","Tata Consultancy Services Limited","Incorporation","Tata Consultancy Services Limited has informed the Exchange about Incorporation","28-Jan-2026 15:51:27","2026-01-28 15:51:27","28-Jan-2026 15:51:28","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_28012026155024_SEInt28012026_Morocco_signed.pdf"
"TCS","Tata Consultancy Services Limited","Updates","Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - TCS Deepens its LATAM Reach with a New Brazil Campus; To Add 1,600 Jobs'.","27-Jan-2026 17:30:04","2026-01-27 17:30:04","27-Jan-2026 17:30:05","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_27012026171942_PR_27Jan26_signed.pdf"
"TCS","Tata Consultancy Services Limited","Updates","Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - Kalmar Partners with TCS for Strategic AI-powered Transformation of its Enterprise IT Landscape'.","22-Jan-2026 12:30:12","2026-01-22 12:30:12","22-Jan-2026 12:30:13","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_22012026122256_PR_22Jan26_signed.pdf"
"TCS","Tata Consultancy Services Limited","Updates","Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - TCS and Rajarambapu Sahakari Bank Deepen Partnership; Integrate TCS BaNCS for Treasury to Enhance Operations'.","21-Jan-2026 11:30:19","2026-01-21 11:30:19","21-Jan-2026 11:30:20","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_21012026112003_PR_21Jan26_signed.pdf"
"TCS","Tata Consultancy Services Limited","Incorporation","Tata Consultancy Services Limited has informed the Exchange about Incorporation of subsidiary","19-Jan-2026 12:44:28","2026-01-19 12:44:28","19-Jan-2026 12:44:29","00:00:01","https://nsearchives.nseindia.com/corporate/TCS_CORPCS_19012026124410_Stock_Exchange_letter_signed.pdf"
